"Número
colección
planta
madre",Jardín Común,"Fecha
siembra","Fecha
trasplante",Bandeja,Fila,Columna,"Fecha
medición",Longitud tallo (cm),Número de hojas,Ángulo 1 (grados) (sentido horario),Ángulo 2 (grados) (sentido horario),Ángulo 3 (grados) (sentido horario),Ángulo 4 (grados) (sentido horario),Ángulo 5 (grados) (sentido horario),Ángulo 6 (grados) (sentido horario),Ángulo 7 (grados) (sentido horario),Ángulo 8 (grados) (sentido horario),Ángulo 9 (grados) (sentido horario),Ángulo 10 (grados) (sentido horario),Ángulo 11 (grados) (sentido horario),Ángulo 12 (grados) (sentido horario),Ángulo 13 (grados) (sentido horario),Ángulo 14 (grados) (sentido horario),Ángulo 15 (grados) (sentido horario),Ángulo 16 (grados) (sentido horario),Ángulo 17 (grados) (sentido horario),Ángulo 18 (grados) (sentido horario),Ángulo 19 (grados) (sentido horario),Ángulo 20 (grados) (sentido horario),Ángulo 21 (grados) (sentido horario),Ángulo 22 (grados) (sentido horario),OBSERVACIONES
1024,Quebradas,02-04-2019,06-08-2019,1A,3,9,14-11-2020,1.8,17,138,141,137,293,220,248,172,118,144,183,137,158,144,129,109,NA,NA,NA,NA,NA,NA,NA,Tres hojas amarillas
1002,Quebradas,02-04-2019,06-08-2019,1A,5,10,17-11-2020,1.7,8,140,107,172,182,93,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Una hoja café y una hoja con el ápice amarilla
1015,Quebradas,02-04-2019,06-08-2019,1A,1,7,14-11-2020,2.1,23,152,94,73,149,143,114,161,143,117,165,140,139,128,159,136,151,147,157,155,149,156,NA,Tres hojas cafés y 3 hojas amarillas
1028,Quebradas,05-04-2019,06-08-2019,1A,2,3,17-11-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Muchas hojas ¿Frailejón? Ocho hojas parecen de frailejón
1018,Quebradas,05-04-2019,06-08-2019,1A,2,5,15-11-2020,1.8,6,138,67,206,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Una hoja mordida
1028,Quebradas,05-04-2019,06-08-2019,1A,5,8,14-11-2020,2,19,73,192,65,192,123,69,179,81,66,153,109,198,232,213,217,231,254,NA,NA,NA,NA,NA,Una hoja café y tres hojas amarillas con herbivoría
1009,Quebradas,05-04-2019,06-08-2019,1A,5,6,13-11-2020,1.5,21,164,250,197,240,69,196,79,59,168,95,191,89,195,193,219,70,166,104,126,109,NA,NA,Cuatro hojas amarillas
1009,Quebradas,05-04-2019,06-08-2019,1A,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No hay presencia del espécimen (Probablemente, plántula muerta)"
1009,Quebradas,05-04-2019,06-08-2019,1A,3,7,14-11-2020,1.6,16,96,158,168,49,81,194,268,140,135,149,162,135,192,123,NA,NA,NA,NA,NA,NA,NA,NA,Tres hojas cafés y cinco amarillas
1020,Quebradas,05-04-2019,06-08-2019,1A,3,1,15-11-2020,2.4,24,95,145,86,232,174,254,192,232,233,196,220,240,189,237,217,220,206,211,208,216,203,242,Tres hojas cafés. Hojas con puntos (glándulas)
1010,Quebradas,05-04-2019,06-08-2019,1A,4,2,14-11-2020,1.7,19,137,176,87,150,235,282,247,84,141,287,115,96,208,236,190,248,212,NA,NA,NA,NA,NA,Cuatro hojas cafés y cuatro hojas amarillas
1032,Quebradas,05-04-2019,06-08-2019,1A,1,5,14-11-2020,1.9,15,138,169,113,179,140,100,206,107,155,153,144,192,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dos hojas amarillas
1025,Quebradas,05-04-2019,06-08-2019,1A,1,9,14-11-2020,1.8,12,100,136,203,100,65,70,133,138,73,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dos hojas cafés y una amarilla. Roseta sin hojas a un lado
1007,Quebradas,05-04-2019,06-08-2019,1A,2,2,14-11-2020,1.8,17,70,206,231,208,253,180,244,195,120,211,110,153,160,72,195,NA,NA,NA,NA,NA,NA,NA,Cuatro hojas cafés y tres amarillas
1012,Quebradas,05-04-2019,06-08-2019,1A,4,9,15-11-2020,2,14,171,104,202,223,85,101,124,233,219,229,146,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dos hojas cafés. Forma de la hoja: delgada en la base y ancha en la mitad
1014,Quebradas,05-04-2019,06-08-2019,1A,4,3,14-11-2020,1.7,17,156,205,87,236,198,242,216,223,208,92,145,102,214,201,212,NA,NA,NA,NA,NA,NA,NA,Tres hojas cafés y dos amarillas
1014,Quebradas,05-04-2019,06-08-2019,1A,2,7,14-11-2020,2,18,107,177,263,201,68,217,244,157,144,157,127,165,146,127,163,144,NA,NA,NA,NA,NA,NA,Tres hojas cafés y cuatro amarillas
1014,Quebradas,05-04-2019,06-08-2019,1A,3,6,14-11-2020,1.8,13,229,212,203,247,212,217,70,157,106,197,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tres hojas amarillas
1042,Quebradas,05-04-2019,06-08-2019,1A,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No hay presencia del espécimen (Probablemente, plántula muerta)"
1003,Quebradas,05-04-2019,06-08-2019,1A,4,7,15-11-2020,1.7,5,130,159,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Una hoja café
1017,Quebradas,05-04-2019,06-08-2019,1A,5,7,14-11-2020,2.4,17,150,139,55,256,195,232,208,222,210,194,217,238,197,236,209,NA,NA,NA,NA,NA,NA,NA,Tres hojas con necrosis (marrón). Dos hojas amarillas
1003,Quebradas,05-04-2019,06-08-2019,1A,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No hay presencia del espécimen (Probablemente, plántula muerta)"
1009,Quebradas,05-04-2019,06-08-2019,1A,5,1,14-11-2020,1.8,15,84,147,88,209,203,230,202,232,209,215,193,208,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cuatro hojas cafés y dos hojas amarillas
1003,Quebradas,05-04-2019,06-08-2019,1A,3,3,17-11-2020,1.5,8,270,218,108,166,264,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Una hoja amarilla y café (necrosis)
1017,Quebradas,05-04-2019,06-08-2019,1A,1,10,13-11-2020,1.9,17,216,213,91,152,90,204,211,230,203,224,200,217,223,194,267,NA,NA,NA,NA,NA,NA,NA,Una hoja café y una hoja amarilla
1009,Quebradas,05-04-2019,06-08-2019,1A,2,4,14-11-2020,1.4,19,65,93,162,70,61,132,87,238,95,210,215,73,158,95,188,236,229,NA,NA,NA,NA,NA,Cuatro hojas cafés y cinco amarillas
1008,Quebradas,05-04-2019,06-08-2019,1A,3,4,15-11-2020,1.5,12,257,191,118,135,73,78,176,103,194,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Una hoja café (necrosis), una hoja amarilla. Segunda roseta: 3 hojas"
1009,Quebradas,05-04-2019,06-08-2019,1A,3,5,15-11-2020,2,17,61,232,261,147,135,272,231,66,214,261,188,136,159,138,98,NA,NA,NA,NA,NA,NA,NA,Dos hojas cafés (necrosis); cuatro hojas amarillas
1009,Quebradas,05-04-2019,06-08-2019,1A,5,9,13-11-2020,1.7,18,148,266,213,117,122,179,126,137,162,135,167,126,168,153,148,137,NA,NA,NA,NA,NA,NA,"Cuatro hojas cafés (necrosis), cuatro hojas amarillas"
1008,Quebradas,05-04-2019,06-08-2019,1A,3,8,15-11-2020,1.7,10,111,137,163,122,166,152,143,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dos hojas amarillas y una hoja amarilla con café
